# 한자 훈음 사전. 형식: 漢字|훈 음   (7화 전체에 나오는 한자어 표제 기준. 빌드가 누락을 검사한다)
一|하나 일
丈|어른 장
上|위 상
下|아래 하
不|아닐 불
両|두 량
中|가운데 중
丸|둥글 환
丼|덮밥 정
乗|탈 승
了|마칠 료
予|미리 예
事|일 사
二|두 이
京|서울 경
人|사람 인
今|이제 금
仕|섬길 사
他|다를 타
付|붙을 부
代|대신할 대
以|써 이
世|인간 세
仲|버금 중
件|사건 건
任|맡길 임
休|쉴 휴
会|모일 회
伝|전할 전
似|닮을 사
住|살 주
体|몸 체
何|어찌 하
余|남을 여
作|지을 작
使|하여금 사
便|편할 편
係|맬 계
信|믿을 신
修|닦을 수
俺|나 엄
偉|훌륭할 위
停|머무를 정
側|곁 측
備|갖출 비
働|일할 동
像|모양 상
償|갚을 상
元|으뜸 원
先|먼저 선
児|아이 아
入|들 입
全|온전할 전
公|공평할 공
六|여섯 육
具|갖출 구
内|안 내
円|둥글 원
出|날 출
分|나눌 분
切|끊을 절
刑|형벌 형
列|벌릴 렬
初|처음 초
判|판단할 판
別|다를 별
利|이로울 리
削|깎을 삭
前|앞 전
割|벨 할
力|힘 력
加|더할 가
助|도울 조
労|일할 로
動|움직일 동
務|힘쓸 무
勝|이길 승
化|될 화
区|구역 구
十|열 십
半|반 반
危|위태할 위
原|언덕 원
参|참여할 참
友|벗 우
反|돌이킬 반
取|가질 취
受|받을 수
古|옛 고
可|옳을 가
司|맡을 사
各|각각 각
合|합할 합
同|한가지 동
名|이름 명
君|임금 군
吸|마실 흡
告|고할 고
呪|빌 주
味|맛 미
呼|부를 호
命|목숨 명
和|화할 화
哀|슬플 애
品|물건 품
員|인원 원
問|물을 문
喋|재잘거릴 첩
四|넉 사
回|돌아올 회
因|인할 인
囲|둘레 위
地|땅 지
型|모형 형
執|잡을 집
基|터 기
堂|집 당
場|마당 장
士|선비 사
変|변할 변
外|바깥 외
多|많을 다
大|큰 대
天|하늘 천
夫|지아비 부
失|잃을 실
奉|받들 봉
奥|깊을 오
女|계집 녀
奴|종 노
好|좋을 호
如|같을 여
妥|온당할 타
妨|방해할 방
姉|손윗누이 자
始|비로소 시
嫌|싫어할 혐
子|아들 자
字|글자 자
学|배울 학
守|지킬 수
安|편안할 안
完|완전할 완
官|벼슬 관
定|정할 정
実|열매 실
室|집 실
害|해할 해
家|집 가
容|얼굴 용
寄|부칠 기
密|빽빽할 밀
察|살필 찰
対|대할 대
導|이끌 도
小|작을 소
就|나아갈 취
局|판 국
屋|집 옥
川|내 천
工|장인 공
左|왼 좌
巨|클 거
巻|책 권
市|저자 시
常|항상 상
年|해 년
幸|다행 행
底|밑 저
府|마을 부
度|법도 도
庭|뜰 정
弁|말씀 변
式|법 식
引|끌 인
強|강할 강
当|마땅할 당
形|모양 형
影|그림자 영
役|부릴 역
待|기다릴 대
律|법 률
後|뒤 후
徹|통할 철
心|마음 심
必|반드시 필
応|응할 응
怒|성낼 노
怖|두려울 포
思|생각할 사
急|급할 급
恰|흡사 흡
悪|악할 악
惑|미혹할 혹
想|생각 상
意|뜻 의
感|느낄 감
態|모습 태
憩|쉴 게
懐|품을 회
成|이룰 성
戦|싸움 전
戻|어그러질 려
所|바 소
扉|문짝 비
手|손 수
打|칠 타
払|떨칠 불
扱|다룰 급
抗|겨룰 항
抜|뺄 발
抵|막을 저
担|멜 담
拐|후릴 괴
持|가질 지
指|손가락 지
振|떨칠 진
捕|잡을 포
捜|찾을 수
掃|쓸 소
掌|손바닥 장
採|캘 채
推|밀 추
搬|옮길 반
搭|탈 탑
撃|칠 격
操|잡을 조
改|고칠 개
攻|칠 공
救|구원할 구
教|가르칠 교
数|셀 수
文|글월 문
料|헤아릴 료
断|끊을 단
新|새 신
方|모 방
施|베풀 시
族|겨레 족
日|날 일
旦|아침 단
早|이를 조
明|밝을 명
昔|옛 석
星|별 성
時|때 시
普|널리 보
晴|갤 청
暴|사나울 폭
曇|흐릴 담
曲|굽을 곡
更|다시 갱
書|글 서
替|바꿀 체
最|가장 최
月|달 월
期|기약할 기
未|아닐 미
本|근본 본
机|책상 궤
校|학교 교
来|올 래
械|형틀 계
業|업 업
楽|즐길 락
概|대개 개
様|모양 양
機|틀 기
次|버금 차
止|그칠 지
正|바를 정
歴|지날 력
死|죽을 사
残|남을 잔
殴|때릴 구
段|층계 단
殺|죽일 살
気|기운 기
求|구할 구
汎|넓을 범
汚|더러울 오
決|결단할 결
況|하물며 황
法|법 법
注|부을 주
活|살 활
流|흐를 류
涙|눈물 루
液|진 액
深|깊을 심
清|맑을 청
減|덜 감
滅|멸할 멸
無|없을 무
焦|탈 초
然|그럴 연
燃|탈 연
爆|터질 폭
牛|소 우
物|물건 물
犯|범할 범
状|형상 상
狭|좁을 협
班|나눌 반
現|나타날 현
球|공 구
理|다스릴 리
生|날 생
用|쓸 용
由|말미암을 유
男|사내 남
画|그림 화
番|차례 번
異|다를 이
病|병 병
発|필 발
的|과녁 적
皆|다 개
盛|성할 성
目|눈 목
直|곧을 직
相|서로 상
真|참 진
着|붙을 착
瞬|눈깜짝일 순
知|알 지
査|조사할 사
砂|모래 사
破|깨뜨릴 파
硬|굳을 경
確|굳을 확
社|모일 사
神|귀신 신
私|사사 사
秒|초 초
秘|숨길 비
称|일컬을 칭
移|옮길 이
程|한도 정
税|세금 세
積|쌓을 적
章|글 장
童|아이 동
範|법 범
精|정할 정
糖|엿 당
級|등급 급
終|마칠 종
組|짤 조
経|지날 경
結|맺을 결
絡|이을 락
給|줄 급
絶|끊을 절
総|다 총
縦|세로 종
繁|번성할 번
繋|맬 계
織|짤 직
罪|허물 죄
羅|벌일 라
美|아름다울 미
考|생각할 고
者|놈 자
聞|들을 문
聴|들을 청
職|벼슬 직
肉|고기 육
能|능할 능
脱|벗을 탈
腹|배 복
自|스스로 자
舌|혀 설
般|가지 반
良|어질 량
荷|멜 하
落|떨어질 락
葉|잎 엽
薬|약 약
血|피 혈
行|다닐 행
衛|지킬 위
袈|가사 가
被|입을 피
装|꾸밀 장
裕|넉넉할 유
補|도울 보
裟|가사 사
製|지을 제
要|요긴할 요
見|볼 견
覚|깨달을 각
親|친할 친
観|볼 관
解|풀 해
言|말씀 언
計|셀 계
設|베풀 설
訳|번역할 역
話|말씀 화
認|알 인
誘|꾈 유
語|말씀 어
説|말씀 설
読|읽을 독
誰|누구 수
調|고를 조
謝|사례할 사
識|알 식
警|경계할 경
護|보호할 호
責|꾸짖을 책
貴|귀할 귀
買|살 매
賃|품삯 임
質|바탕 질
走|달릴 주
起|일어날 기
超|뛰어넘을 초
足|발 족
路|길 로
身|몸 신
車|수레 차
転|구를 전
載|실을 재
輸|나를 수
辞|말씀 사
込|넣을 입
近|가까울 근
返|돌이킬 반
退|물러날 퇴
送|보낼 송
逃|도망할 도
逆|거스를 역
通|통할 통
造|지을 조
連|이을 련
逮|잡을 체
週|돌 주
進|나아갈 진
運|옮길 운
道|길 도
達|통달할 달
違|어긋날 위
邦|나라 방
