# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
1|일단 맨 앞 차량으로 가면 어떻게든 되는 거지?|とりあえず いちばん まえの しゃりょう いきゃ なんとかなんのな|
2|그런가 하고 말했을 뿐이야|そーかなって いってただけ|
3|우와, 이 차량 뭐야|うわ なに この しゃりょう|
4|식당차다…|しょくどうしゃだ|
5|대단하다~|すごーい|
6|일단 전부 작동하네|いちおう ぜんぶ きのうしてんだ|
7|미안, 배에서 소리 났어|ごめん おなか なっちゃった|
8|어, 아니 지금|え いや いま|
9|나야!|おれだよ|
10|아니 아니 아니|いやいやいや|
11|배고프단 말이야!|はら へったんだよ|
12|뭐야 이 사람들…|なに このひとたち|
13|봐봐, 치하루가 좋아하는 것도 있어|みてー ちはるの すきなやつも ある|
14|아니 이거 토사물 같은 맛 나는 거잖아|いや これ ゲボみたいな あじする やつじゃん|
15|야 그만해!|ねぇ やめて|
16|어, 사게? 그런 거 하지 말고 빨리 가자|え かうの そんなん やってないで はやく いこぉよ|
17|오류|エラー|
18|오류|エラー|
19|에, 왜~|えー なんでー|
20|자 이제 가자|ほら もういこ|
21|아, 잠깐만|あ ちょっとまって|
22|오류|エラー|
23|오류|エラー|
24|오류라니까, 이제 간다|エラーだよ もういくぞ|
25|에----|えーーーー|
26|있잖아 마키나, 이거 고칠 수 있지?|ねー まきな これ なおせるでしょ|
27|하?|はぁ|
28|늘 하던 대로 뚝딱뚝딱 하면 되지?|いつもの ガチャガチャって かんじで いけるでしょ|
29|아니 이제 안 해|いや もう やんねぇよ|
30|있잖아, 배고프단 말이야~|ねー おなか すいたのー|
31|야, 치하루|ちょ ちはる|
32|뭐?|なに|
33|이런 데 시간 쓰지 말고 얼른 열차 원래대로 돌려놓자|こんな ことで じかん つかってないで とっとと れっしゃ もとに もどそうよ|
34|이렇게 좁은 데서 저런 놈들이랑 계속 있으면 위험하잖아|こんな せまいとこに あーゆー やつらと いつまでも いたら やばいじゃん|
35|아니 마키나 그건|いやー まきな それは|
36|무슨 짓을 할지 모른다고|なにしてくるか わかんないぞ|
37|야, 들리거든|おい きこえてんぞ|
38|어, 아 죄송해요, 거봐?|え あぁ すみません ほらね|
39|야, 야, 너, 기다려! 너 아까부터 생각했는데 우릴 무시하는 거지?|お おい おま まてよ おまえ まえから おもってたけど おれらのこと なめてんな|
40|어, 뭐예요 뭐예요, 뭐뭐뭐, 다가오지 마세요|え なんすか なんすか なになになに ちかづかないで|
41|아, 뭐야 너, 우리가 폭주족이라서 그러냐?|あ なんだ てめー おれらが ぞくだからか|
42|아? 너도 체포된 몸이잖아|あ おめーも たいほされてんだから|
43|어, 갑자기 이쪽으로 오지 말아줬으면 하는데요|え きゅうに こっち こないでほしいんですけど|
44|야, 양아치 모드 그만해|ねー ヤンキーモード やめて|
45|같은 부류잖아! 뭘 너 계속 잘난 척이야!|どうるいだろうが なに おまえ ずっと えらそうに してんだよ|
46|마키나, 아무튼 죄송해요|まきなーー なんか ごめんなさい|
47|야, 야 지금 내가 말하고 있잖아! 너, 한 번만 닥쳐!|おい おい いま おれが しゃべってんだよ てめ いっかい だまれよ|
48|아무튼 죄송해요|なんか ごめんなさい|
49|응|うん|
50|야, 진짜 다가오지 마, 지금 경고했다, 야 알겠지?|ねぇ まじで よってくるの やめて いま けいこくしたからね ねぇ いいのね|
51|너 괜찮은 거지?|おまえ いいのな|
52|야, 야! 아? 부들부들부들부들부들|おい おい あ ぶるぶるぶるぶるぶる|
53|뭐야, 카나타!|なっ かなた|
54|카나타!|かなた|
55|카나타!|かなた|
56|너, 뭘 한 거야|おまえ なにしたんだ|
57|아니 전류로 굳게만 만들었는데요|いや でんりゅうで こうちょくさせただけですけど|
58|죽인 거야!?|ころしたのか!?|
59|안 죽였어!|ころしてねぇよ|
60|이 자식!|きさま|
61|우엑…|うぇ|
62|돈을 넣어 주세요|おかねを いれてください|
