# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|一番前の車両いきゃなんとかなんのな|いちばん まえの しゃりょう いきゃ なんとかなんのな|맨 앞 차량으로 가면 어떻게든 되는 거지|〜いきゃ=行けば(구어 축약)
E|こんなことで時間使ってないで|こんな ことで じかん つかってないで|이런 일에 시간 쓰지 말고|〜ないで=~하지 말고
E|なにしてくるかわかんないぞ|なにしてくるか わかんないぞ|무슨 짓을 할지 모른다고|〜かわからない=~일지 모른다
E|前から思ってたけど|まえから おもってたけど|아까부터 생각했는데|〜てたけど=〜ていたけど
E|俺らのことナメてんな|おれらのこと ナメてんな|우릴 무시하는 거지|ナメる=얕보다·무시하다(속어)
E|急にこっち来ないでほしいんですけど|きゅうに こっち こないでほしいんですけど|갑자기 이쪽으로 오지 말아줬으면 하는데요|〜ないでほしい=~하지 않았으면 좋겠다
E|同類だろうが|どうるいだろうが|같은 부류잖아|〜だろうが=~잖아(강한 단정)
E|電流で硬直させただけですけど|でんりゅうで こうちょくさせただけですけど|전류로 굳게만 만들었는데요|〜させる=사역형
E|あんまりミナミちゃんぽくないんだけど|あんまり みなみちゃんぽくないんだけど|별로 미나미답지는 않은데|〜っぽい=~같다·~답다
E|３回くらい聞いたあたりでメッチャいいなと|さんかいくらい きいた あたりで めっちゃ いいなと|세 번쯤 들었을 때쯤부터 완전 좋다고|〜あたりで=~할 즈음에
E|あの時のミナミちゃんの状況が影響してる|あのときの みなみちゃんの じょうきょうが えいきょうしてる|그때 미나미의 상황이 영향을 준 거다|〜が影響してる=~가 영향을 미치고 있다
E|引退するとかまで言われてた|いんたいするとかまで いわれてた|은퇴한다는 말까지 나왔다|〜とかまで言われる=~라는 말까지 듣다(수동)
# --- 단어 ---------------------------------------------------
V|食堂車|しょくどうしゃ|식당차|
V|お腹すいた|おなか すいた|배고프다|
V|ファンクラブ限定|ファンクラブ げんてい|팬클럽 한정|
V|推し|おし|(팬으로서) 응원하는 대상·최애|
V|超新星|ちょうしんせい|초신성|
V|アイドルトーク|アイドルトーク|아이돌 얘기|
V|和解|わかい|화해|
V|液弁|えきべん|액체 도시락|
V|牛丼|ぎゅうどん|규동|
