# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
全然|全然|ぜんぜん|전혀|전연
話|話|はなし|이야기|화
日|日|ひ|날·일|일
間|間|ま|사이·틈|간
起き,起きる|起きる|おきる|일어나다|기
事件|事件|じけん|사건|사건
内容|内容|ないよう|내용|내용
話し|話す|はなす|이야기하다|화
説明|説明|せつめい|설명|설명
分かっ,解り,分かる,解っ|分かる|わかる|알다·이해하다|분
何|何|なん|무엇|하
改めて|改めて|あらためて|다시·재차|개
確認|確認|かくにん|확인|확인
理由|理由|りゆう|이유|리유
一|一|いち|하나·1|일
回|回|かい|회·번|회
最初|最初|さいしょ|최초·처음|최초
完全|完全|かんぜん|완전|완전
場違い|場違い|ばちがい|장소에 안 어울림|장위
見,観れ|見る|みる|보다|견
方|方|ほう|쪽·방법|방
奥|奥|おく|안쪽·속|오
２人,二人|二人|ふたり|두 사람·둘이|이인
怖い|怖い|こわい|무섭다|포
顔|顔|かお|얼굴|안
顔合わせ|顔合わせ|かおあわせ|얼굴을 마주함|안합
想像|想像|そうぞう|상상|상상
修羅|修羅|しゅら|수라(아수라, 처참한 상황)|수라
場|場|ば|장소·판|장
生き|生きる|いきる|살다|생
人|人|ひと|사람|인
目ぇ,目|目|め|눈·~번째|목
合わせ|合わせる|あわせる|맞추다|합
殺さ,殺し|殺す|ころす|죽이다|살
待た,待っ,待て,待とう|待つ|まつ|기다리다|대
今|今|いま|지금|금
道路|道路|どうろ|도로|도로
逮捕|逮捕|たいほ|체포|체포
名前|名前|なまえ|이름|명전
補導|補導|ほどう|보도·단속|보도
言っ,言わ|言う|ゆう|말하다|언
間違い|間違い|まちがい|실수·잘못|간위
返事|返事|へんじ|대답|반사
願い|願う|ねがう|바라다|원
砂糖|砂糖|さとう|설탕|사당
不法|不法|ふほう|불법|불법
所持|所持|しょじ|소지|소지
違反|違反|いはん|위반|위반
公務|公務|こうむ|공무|공무
執行|執行|しっこう|집행|집행
妨害|妨害|ぼうがい|방해|방해
警察|警察|けいさつ|경찰|경찰
車両|車両|しゃりょう|차량|차량
爆破|爆破|ばくは|폭파|폭파
聞こえ,聞こえる|聞こえる|きこえる|들리다|문
社長|社長|しゃちょう|사장|사장
今回|今回|こんかい|이번|금회
強い|強い|つよい|강하다|강
手元|手元|てもと|수중·바로 옆|수원
配っ|配る|くばる|나누어 주다|배
通し|通す|とおす|통과시키다·훑어보다|통
皆|皆|みな|모두|개
参加|参加|さんか|참가|참가
書い,書けよ|書く|かく|쓰다|서
行|行|こう|행·줄|행
君|君|きみ|~씨·~군|군
読ん|読む|よむ|읽다|독
刑期|刑期|けいき|형기|형기
計上|計上|けいじょう|계상(반영해 셈함)|계상
概要|概要|がいよう|개요|개요
惑星|惑星|わくせい|행성|혹성
連邦|連邦|れんぽう|연방|련방
刑事|刑事|けいじ|형사|형사
施設|施設|しせつ|시설|시설
官|官|かん|관(경찰관 등)|관
判断|判断|はんだん|판단|판단
完了|完了|かんりょう|완료|완료
長かっ,長い|長い|ながい|길다|장
刑務|刑務|けいむ|형무(교도)|형무
所|所|ところ|곳·바|소
働け|働く|はたらく|일하다|동
難しい|難しい|むずかしい|어렵다|난
言葉|言葉|ことば|말·언어|언엽
感じ|感じ|かんじ|느낌|감
役所|役所|やくしょ|관공서|역소
仕事|仕事|しごと|일·직업|사사
丸出し|丸出し|まるだし|노골적으로 드러남|환출
文章|文章|ぶんしょう|문장·글|문장
嫌|嫌|いや|싫음|혐
勝手|勝手|かって|제멋대로·마음대로|승수
結局|結局|けっきょく|결국|결국
終了|終了|しゅうりょう|종료|종료
静か|静か|しずか|조용함|정
要|要|よう|요점·필요|요
代わり|代わり|かわり|대신|대
社会|社会|しゃかい|사회|사회
奉仕|奉仕|ほうし|봉사|봉사
活動|活動|かつどう|활동|활동
一言|一言|ひとこと|한마디|일언
伝える|伝える|つたえる|전하다|전
文字|文字|もじ|글자|문자
必要|必要|ひつよう|필요|필요
理解|理解|りかい|이해|리해
力|力|ちから|힘|력
超|超|ちょう|초(超, 매우)|초
無駄|無駄|むだ|헛됨·낭비|무태
時間|時間|じかん|시간|시간
机|机|つくえ|책상|궤
奴|奴|やつ|녀석·놈|노
逆|逆|ぎゃく|반대·거꾸로|역
頭|頭|あたま|머리|두
悪ぃ|悪い|わるい|나쁘다|악
質問|質問|しつもん|질문|질문
週間|週間|しゅうかん|주간(일주일)|주간
終わっ,終わん|終わる|おわる|끝나다|종
思っ,思う|思う|おもう|생각하다|사
俺|俺|おれ|나(남자의 1인칭)|엄
予想|予想|よそう|예상|예상
最悪|最悪|さいあく|최악|최악
他|他|ほか|다른(것)|타
具体|具体|ぐたい|구체|구체
的|的|まと|~적|적
良い,良かっ|良い|よい|좋다|량
前|前|まえ|앞·전|전
走行|走行|そうこう|주행|주행
列車|列車|れっしゃ|열차|렬차
通称|通称|つうしょう|통칭|통칭
正式|正式|せいしき|정식|정식
名称|名称|めいしょう|명칭|명칭
呼ば|呼ぶ|よぶ|부르다|호
地球|地球|ちきゅう|지구|지구
歴|歴|れっき|~력(연대)|력
年|年|ねん|해·년|년
