# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|무조건적인|むじょうけんの|無条件=무조건. 〜の=다음 줄 「あなたの愛」를 꾸민다
2|당신의 사랑|あなたの あい|1·2번이 한 마디. あなた=여기서는 하나님을 부르는 말
3|그 사랑이 나를 붙들고|その あいが わたしを ささえ|支える=지탱하다·붙들다. 연용형으로 다음 줄에 잇는다
4|사슬을 풀고|くさりを とき|鎖=사슬. 解く=풀다
5|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|〜にする=〜하게 하다. 満たす=채우다
6|당신을 알지 못한 채|あなたを しらず|〜ず=〜하지 않고(문어). 知る의 부정
7|등을 돌리고 사는|せを むけ いきる|背を向ける=등을 돌리다. 生きる가 다음 줄 「그 한가운데」를 꾸민다
8|그 한가운데서|その ただなかで|ただ中=한가운데
9|나의 무거운|わたしの おもい|重い=무겁다. 다음 줄 罪를 꾸민다
10|죄를 짊어지시고|つみを せおわれ|背負う=짊어지다. 〜れ=존경. 연용형
11|십자가에 달리셨네|じゅうじかに あげられた|上げる=올리다. 〜られた=수동·존경
12|당신을|あなたを|12·13번이 한 마디 — 「당신을 사랑하기 전부터」
13|사랑하기 전부터|あいする まえから|〜前から=〜하기 전부터
14|나를 아시고|わたしを しり|知り=知る 연용형
15|사랑하고 계셨네|あいしていた|〜ていた=〜하고 있었다(진행의 과거)
16|무조건적인|むじょうけんの|1번과 같은 줄
17|당신의 사랑|あなたの あい|2번과 같은 줄
18|그 사랑이 나를 붙들고|その あいが わたしを ささえ|3번과 같은 줄
19|사슬을 풀고|くさりを とき|4번과 같은 줄
20|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|5번과 같은 줄
21|몇 번이고 넘어지는|なんども ころぶ|何度も=몇 번이나. 転ぶ=넘어지다. 다음 줄 私를 꾸민다
22|그런 나를|そんな わたしを|そんな=그런
23|책망하지 않으시고|せめる こと なく|責める=책망하다. 〜ことなく=〜하는 일 없이
24|주님의 사랑 안에|しゅの あいの なか|主=주님. 〜の中=〜안
25|머무는 것을|とどまる ことを|留まる=머물다. 〜こと=〜하는 것
26|가르치고 격려하시네|おしえ はげます|教える=가르치다. 励ます=격려하다
27|당신을|あなたを|12번과 같은 줄
28|사랑하기 전부터|あいする まえから|13번과 같은 줄
29|나를 아시고|わたしを しり|14번과 같은 줄
30|사랑하고 계셨네|あいしていた|15번과 같은 줄
31|무조건적인|むじょうけんの|1번과 같은 줄
32|당신의 사랑|あなたの あい|2번과 같은 줄
33|그 사랑이 나를 붙들고|その あいが わたしを ささえ|3번과 같은 줄
34|사슬을 풀고|くさりを とき|4번과 같은 줄
35|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|5번과 같은 줄
36|무조건적인|むじょうけんの|1번과 같은 줄
37|당신의 사랑|あなたの あい|2번과 같은 줄
38|그 사랑이 나를 붙들고|その あいが わたしを ささえ|3번과 같은 줄
39|사슬을 풀고|くさりを とき|4번과 같은 줄
40|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|5번과 같은 줄
41|십자가를 우러러보고|じゅうじかを あおぎみて|仰ぎ見る=우러러보다
42|주님의 사랑과 구원을 받아|しゅの あいと すくい うけ|救い=구원. 受け=受ける 연용형
43|변하는 일|かわる こと|다음 줄로 이어져 「변함없이 다함없는 사랑」이 된다
44|다함없는 사랑에|つきる こと ない あいに|尽きる=다하다. 〜ことない=〜하는 일 없는
45|지금 살아가네|いま いきる|
46|십자가를 우러러보고|じゅうじかを あおぎみて|41번과 같은 줄
47|주님의 사랑과 구원을 받아|しゅの あいと すくい うけ|42번과 같은 줄
48|변하는 일|かわる こと|43번과 같은 줄
49|다함없는 사랑에|つきる こと ない あいに|44번과 같은 줄
50|지금 살아가네|いま いきる|45번과 같은 줄
51|무조건적인|むじょうけんの|1번과 같은 줄
52|당신의 사랑|あなたの あい|2번과 같은 줄
53|그 사랑이 나를 붙들고|その あいが わたしを ささえ|3번과 같은 줄
54|사슬을 풀고|くさりを とき|4번과 같은 줄
55|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|5번과 같은 줄
56|무조건적인|むじょうけんの|1번과 같은 줄
57|당신의 사랑|あなたの あい|2번과 같은 줄
58|그 사랑이 나를 붙들고|その あいが わたしを ささえ|3번과 같은 줄
59|사슬을 풀고|くさりを とき|4번과 같은 줄
60|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|5번과 같은 줄
61|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|5번과 같은 줄. 끝말을 세 번 되풀이한다
62|자유롭게 하고 마음을 채우시네|じゆうに し こころを みたす|5번과 같은 줄
63|마음을 채우시네|こころを みたす|5번의 뒷부분만
64|당신의 사랑이|あなたの あいが|이 말로 곡이 끝난다
