# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|無条件の|むじょうけんの|무조건적인|無条件=무조건. 이 곡의 열쇠말
E|私を支え|わたしを ささえ|나를 붙들고|支える=지탱하다. 연용형으로 잇는다
E|鎖を解き|くさりを とき|사슬을 풀고|解く=풀다
E|自由にし|じゆうに し|자유롭게 하고|〜にする=〜하게 하다
E|心を満たす|こころを みたす|마음을 채우시네|満たす=채우다
E|知らず|しらず|알지 못한 채|〜ず=〜하지 않고(문어)
E|背を向け|せを むけ|등을 돌리고|背を向ける=등을 돌리다
E|ただ中で|ただなかで|한가운데서|只中=한가운데
E|背負われ|せおわれ|짊어지시고|背負う+〜れ(존경)
E|上げられた|あげられた|올려지셨네|〜られた=수동·존경
E|愛する 前から|あいする まえから|사랑하기 전부터|〜前から=〜하기 전부터
E|愛していた|あいしていた|사랑하고 계셨네|〜ていた=진행의 과거
E|何度も転ぶ|なんども ころぶ|몇 번이고 넘어지는|何度も=몇 번이나
E|責めることなく|せめる こと なく|책망하지 않으시고|〜ことなく=〜하는 일 없이
E|留まることを|とどまる ことを|머무는 것을|留まる=머물다
E|教え励ます|おしえ はげます|가르치고 격려하시네|연용형으로 두 동사를 잇는다
E|仰ぎ見て|あおぎみて|우러러보고|仰ぎ見る=우러러보다
E|尽きることない|つきる こと ない|다함없는|尽きる=다하다
# --- 단어 ---------------------------------------------------
V|鎖|くさり|사슬|
V|自由|じゆう|자유|
V|罪|つみ|죄|
V|十字架|じゅうじか|십자가|
V|主|しゅ|주님|
V|救い|すくい|구원|
V|今|いま|지금|
