# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
無|無|む|없음·무|무
条件|条件|じょうけん|조건|조건
愛|愛|あい|사랑|애
私|私|わたし|나·저|사
支え|支える|ささえる|지탱하다·붙들다|지
鎖|鎖|くさり|사슬|쇄
解き|解く|とく|풀다|해
自由|自由|じゆう|자유|자유
心|心|こころ|마음|심
満たす|満たす|みたす|채우다|만
知ら,知り|知る|しる|알다|지
背|背|せ|등|배
向け|向ける|むける|향하다·돌리다|향
生きる|生きる|いきる|살다|생
ただ中|只中|ただなか|한가운데|지중
重い|重い|おもい|무겁다|중
罪|罪|つみ|죄|죄
背負わ|背負う|せおう|짊어지다|배부
十字|十字|じゅうじ|십자|십자
架|架|か|가(십자가의 架)|가
上げ|上げる|あげる|올리다|상
愛する,愛し|愛する|あいする|사랑하다|애
前|前|まえ|앞|전
何|何|なに|무엇|하
度|度|ど|번·차례|도
転ぶ|転ぶ|ころぶ|넘어지다|전
責める|責める|せめる|책망하다|책
主|主|しゅ|주님|주
中|中|なか|안·중|중
留まる|止まる|とどまる|머물다(留まる)|지
教え|教える|おしえる|가르쳐 주다·알려주다|교
励ます|励ます|はげます|격려하다|려
仰ぎ見|仰ぎ見る|あおぎみる|우러러보다|앙견
救い|救う|すくう|구하다|구
受け|受ける|うける|받다|수
変わる|変わる|かわる|변하다·바뀌다|변
尽きる|尽きる|つきる|다하다|진
今|今|いま|지금|금
