# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
# 역대하 7장 14절을 노래로 만든 곡. 1절과 2절이 같은 자리에서 마지막 줄만 바뀐다.
1|백성이 겸손히 기도하고|たみが へりくだり いのり|へりくだる=겸손히 낮추다. 祈り=연용형으로 잇는다
2|주의 얼굴을 사모하여 구하며|しゅの みかおを したい もとめ|み顔=얼굴(높임의 み). 慕い求める=사모하여 구하다
3|돌이키면 당신은|たちかえるなら あなたは|立ち返る=돌이키다. 〜なら=〜하면
4|죄를 용서하고 이 땅을 고치시네|つみ ゆるし この ち いやす|癒す=고치다·낫게 하다. 1절의 끝말
5|백성이 겸손히 기도하고|たみが へりくだり いのり|1번과 같은 줄
6|주의 얼굴을 사모하여 구하며|しゅの みかおを したい もとめ|2번과 같은 줄
7|돌이키면 당신은|たちかえるなら あなたは|3번과 같은 줄
8|친히 들어 주시네|したしく きいて くださる|〜てくださる=〜해 주시다. 2절은 여기만 다르다
9|나의 나라 이 일본을|わたしの くに この にっぽんを|日本=にっぽん. 제목
10|태어나고 자란 고향을|うまれ そして そだった ふるさとを|故郷=고향. 生まれ=연용형
11|나의 가족을 친구를|わたしの かぞくを ともだちを|〜を〜を 로 나열
12|주여 구원해 주세요|しゅよ すくって ください|〜てください=〜해 주세요. 主よ=주여(부름)
13|백성이 겸손히 기도하고|たみが へりくだり いのり|1번과 같은 줄
14|주의 얼굴을 사모하여 구하며|しゅの みかおを したい もとめ|2번과 같은 줄
15|돌이키면 당신은|たちかえるなら あなたは|3번과 같은 줄
16|죄를 용서하고 이 땅을 고치시네|つみ ゆるし この ち いやす|4번과 같은 줄
17|백성이 겸손히 기도하고|たみが へりくだり いのり|1번과 같은 줄
18|주의 얼굴을 사모하여 구하며|しゅの みかおを したい もとめ|2번과 같은 줄
19|돌이키면 당신은|たちかえるなら あなたは|3번과 같은 줄
20|친히 들어 주시네|したしく きいて くださる|8번과 같은 줄
21|나의 나라 이 일본을|わたしの くに この にっぽんを|9번과 같은 줄
22|태어나고 자란 고향을|うまれ そして そだった ふるさとを|10번과 같은 줄
23|나의 가족을 친구를|わたしの かぞくを ともだちを|11번과 같은 줄
24|주여 구원해 주세요|しゅよ すくって ください|12번과 같은 줄
25|나의 나라 이 일본을|わたしの くに この にっぽんを|9번과 같은 줄
26|태어나고 자란 고향을|うまれ そして そだった ふるさとを|10번과 같은 줄
27|나의 가족을 친구를|わたしの かぞくを ともだちを|11번과 같은 줄
28|주여 구원해 주세요|しゅよ すくって ください|12번과 같은 줄
29|나의 나라 이 일본을|わたしの くに この にっぽんを|9번과 같은 줄
30|태어나고 자란 고향을|うまれ そして そだった ふるさとを|10번과 같은 줄
31|나의 가족을 친구를|わたしの かぞくを ともだちを|11번과 같은 줄
32|주여 구원해 주세요|しゅよ すくって ください|12번과 같은 줄
33|주여 구원해 주세요|しゅよ すくって ください|끝말을 되풀이한다
34|주여 구원해 주세요|しゅよ すくって ください|이 말로 곡이 끝난다
