# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|へりくだり祈り|へりくだり いのり|겸손히 기도하고|へりくだる=자신을 낮추다
E|み顔を慕い求め|みかおを したい もとめ|얼굴을 사모하여 구하며|み顔=얼굴(높임의 み)
E|立ち返るなら|たちかえるなら|돌이키면|〜なら=〜하면
E|罪ゆるし|つみ ゆるし|죄를 용서하고|許す의 연용형
E|この地癒す|この ち いやす|이 땅을 고치시네|癒す=고치다
E|親しく聞いてくださる|したしく きいて くださる|친히 들어 주시네|〜てくださる=〜해 주시다
E|生まれそして育った|うまれ そして そだった|태어나고 자란|そして=그리고
E|救ってください|すくって ください|구원해 주세요|〜てください=〜해 주세요
# --- 단어 ---------------------------------------------------
V|民|たみ|백성|
V|祈り|いのり|기도|
V|国|くに|나라|
V|日本|にっぽん|일본|にほん 로도 읽는다
V|ふるさと|ふるさと|고향|한자로는 故郷
V|家族|かぞく|가족|
V|友達|ともだち|친구|
