# 형식: id|한국어 뜻|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외). 찬송이므로 뜻은 기도문 어조.
1|내 영혼아, 주를 송축하라|bless = 송축하다·찬양하다 / O my soul = 내 영혼아 (시편 103편 1절의 부름)
2|오 내 영혼아|
3|그분의 거룩한 이름을 경배하라|worship = 경배하다 / holy = 거룩한 / His 대문자 = 하나님
4|이전에 없던 것처럼 노래하라|like never before = 전에 없던 것처럼
5|오 내 영혼아|
6|나는 당신의 거룩한 이름을 경배하리라|I'll = I will. 노래에서는 「아일」로 짧게
7|해가 떠오르고, 새 날이 밝아 와요|the sun comes up = 해가 뜨다 / dawning = 동터 오는
8|다시 당신의 노래를 부를 시간이에요|it's time to ~ = ~할 시간이다
9|무슨 일이 지나가든, 내 앞에 무엇이 놓여 있든|whatever may pass = 무엇이 지나가든 / lie before me = 내 앞에 놓이다
10|저녁이 올 때 나는 노래하고 있게 해 주세요|let me be -ing = 내가 ~하고 있게 하다 / when the evening comes = 저녁이 올 때
11|내 영혼아, 주를 송축하라|
12|오 내 영혼아|
13|그분의 거룩한 이름을 경배하라|
14|이전에 없던 것처럼 노래하라|
15|오 내 영혼아|
16|나는 당신의 거룩한 이름을 경배하리라|
17|당신은 사랑이 풍성하고, 노하기를 더디 하시며|rich in = ~이 풍성한 / slow to anger = 노하기를 더디 하는 (시편 103편 8절)
18|당신의 이름은 위대하고, 당신의 마음은 인자해요|great = 위대한 / kind = 인자한
19|당신의 모든 선하심을 위해 나는 계속 노래하리라|goodness = 선하심 / keep on -ing = 계속 ~하다
20|내 마음이 찾아낼 만 가지 이유|ten thousand = 만(10,000) / reasons for my heart to find = 내 마음이 찾을 이유
21|내 영혼아, 주를 송축하라|
22|오 내 영혼아|
23|그분의 거룩한 이름을 경배하라|
24|이전에 없던 것처럼 노래하라|
25|오 내 영혼아|
26|나는 당신의 거룩한 이름을 경배하리라|
27|주님, 송축합니다|후렴 뒤 애드리브. bless You = 당신을 송축합니다
28|그리고 그날, 내 힘이 다해 갈 때|on that day = 그날에 / strength is failing = 힘이 쇠하다
29|끝이 가까이 오고 내 때가 이르렀을 때|draw near = 가까이 오다 / my time has come = 내 때가 왔다
30|그래도 내 영혼은 끝없이 당신을 찬양하리라|still = 그래도·여전히 / praise = 찬양 / unending = 끝없는
31|만 년 동안, 그리고 그 후로도 영원히|forevermore = 영원토록 (문어·찬송 어투)
32|영원히|앞 줄 끝말의 반복
33|내 영혼아, 주를 송축하라|
34|오 내 영혼아|
35|그분의 거룩한 이름을 경배하라|
36|이전에 없던 것처럼 노래하라|
37|오 내 영혼아|
38|나는 당신의 거룩한 이름을 경배하리라|
39|내 영혼아, 주를 송축하라|노래에서는 앞에 "Come on," 을 붙여 부름
40|오 내 영혼아|
41|그분의 거룩한 이름을 경배하라|
42|이전에 없던 것처럼 노래하라|
43|오 내 영혼아|
44|나는 당신의 거룩한 이름을 경배하리라|
45|네, 나는 당신의 거룩한 이름을 경배하리라|Yes = 다짐의 감탄사
46|주님, 나는 당신의 거룩한 이름을 경배하리라|Lord = 주님
47|이전에 없던 것처럼 노래하라|
48|오 내 영혼아|
49|나는 당신의 거룩한 이름을 경배하리라|
50|예수님, 나는 당신의 거룩한 이름을 경배하리라|Jesus = 예수님 (부름)
51|나는 당신의 거룩한 이름을 경배하리라|마지막 줄은 느려지며(리타르단도) 끝난다
