# 손보정: id|시작초|끝초  — align.py 가 마지막에 덮어쓴다
# 2026-09-16 ①: 후렴이 288박(132.915초) 뒤 그대로 반복되는 것을 이용해 같은 가사 두 줄을 대조,
#               늦은 쪽을 이른 쪽에 맞췄다(8/10 쌍이 최대 1.29초 어긋나 있었다).
# 2026-09-16 ②: 2번은 10글자를 2.8초에 담고 있어 꼬리(「〜던가요」)만 재생됐다. 28.85 로 당김
#               (근거: 글자당 0.73초면 7.3초 필요 · 28.2~28.7 무음 뒤 28.8~35.2 연속 · 28.80 = 62번째 박).
# 2026-09-16 ③: 「수많은 추억들이」+「푸르게 바래졌소」를 한 장으로 합쳐 33 → 32장.
1|20.3|28.1
2|28.85|35.56
3|36|42.9
4|43.5|48.6
5|50|55.9
7|65.7|81.15
8|81.3|86.3
11|101.86|106.64
12|106.69|115.64
13|115.69|122.4
14|122.49|131
15|132.09|137.48
16|137.53|146.3
17|146.35|150.78
18|184|188
22|214.21|218.98
23|219.27|225.56
24|227.31|234.72
25|234.77|239.55
26|239.6|247.9
27|248.6|254.6
28|255.4|263.6
29|265|270.39
