# 形式: id|日本語訳|注記   — id は lyrics.txt の行番号(空行を除く)
1|初めて感じたあなたのまなざしは|눈빛=まなざし・目の光, 그대=あなた(詩的・歌の二人称)
2|私ひとりだけの誤解だったのでしょうか|〜였던가요=〜だったのだろうか(丁寧な自問)
3|澄んだ微笑みで私を|해맑다=澄んで明るい
4|馬鹿にしてしまったのですね|〜소=古風・詩的な文末(〜소/〜오)
5|私のそばを去っていった日|곁=そば, 〜던 날=〜していた日
6|胸に抱いていた桃色の|품다=抱く・秘める, 분홍빛=桃色
7|数多くの思い出が|수많은=数多くの
8|青く色あせてしまった|바래다=色あせる
9|昨日は去ったあなたを|
10|忘れられない自分が憎かった|〜지 못하다=〜できない, 밉다=憎い・嫌だ
11|でも今は気づいています|깨닫다=悟る・気づく
12|あなただけの私だったことを|〜였음을=〜だったことを(名詞化 〜음)
13|また戻ってきたあなたのために|〜 위해=〜のために
14|私のすべてを捧げたい|〜고 싶어=〜したい
15|私たち このまま永遠に|이대로=このまま
16|別れはしない|〜지 않으리=〜しないだろう(文語・誓い)
17|私はただあなただけを|오직=ただ・ひたすら
18|愛しているから|〜기 때문에=〜だから(理由)
19|大きなあなたに向かって|향해=向かって
20|小さくなっていく私だから|〜기에=〜なので(文語), 〜아/어 가다=〜していく
21|それがどんな意味だとしても|〜(이)라 해도=〜だとしても
22|静かに従いましょう|따르다=従う, 〜리오=〜しよう(古風)
23|昨日は過ぎた思い出を|지난=過ぎた
24|忘れられない自分が憎かった|
25|でも今は気づいています|
26|あなただけの私だったことを|
27|また戻ってきたあなたのために|
28|私のすべてを捧げたい|
29|私たち このまま永遠に|
30|別れはしない|
31|私はただあなただけを|
32|愛しているから|
33|愛しているから|
