# 形式: id|読み(カタカナ, 文節で区切る)   — 歌いやすさ優先の近似。連音(リエゾン)を反映
1|チョウム ヌッキン クデ ヌンピチュン
2|ホンジャマネ オヘヨットンガヨ
3|ヘマルグン ミソロ ナルル
4|パボロ マンドゥロッソ
5|ネ キョトゥル トナガドン ナル
6|カスメ プモットン プノンピチェ
7|スマヌン チュオットゥリ プルゲ パレジョッソ
8|オジェヌン トナン クデルル
9|イッチ モタヌン ネガ ミウォッチョ
10|ハジマン イジェ ッケダラヨ
11|クデマネ ナヨッスムル
12|タシ トラオン クデ ウィヘ
13|ネ モドゥン ゴッ タ チュゴ シポ
14|ウリ イデロ ヨンウォニ
15|ヘオジジ アヌリ
16|ナン オジク クデマヌル
17|サランハギ ッテムネ
18|コダラン クデルル ヒャンヘ
19|チャガジョ ガヌン ナイギエ
20|ク ムスン ットゥシラ ヘド
21|チョヨンヒ ッタルリオ
22|オジェヌン チナン チュオグル
23|イッチ モタヌン ネガ ミウォッチョ
24|ハジマン イジェ ッケダラヨ
25|クデマネ ナヨッスムル
26|タシ トラオン クデ ウィヘ
27|ネ モドゥン ゴッ タ チュゴ シポ
28|ウリ イデロ ヨンウォニ
29|ヘオジジ アヌリ
30|ナン オジク クデマヌル
31|サランハギ ッテムネ
32|サランハギ ッテムネ
