# 学習タブのデータ. 形式: 種類|韓国語|日本語|メモ   (E = 表現・文型, V = 単語)
#   実際に歌詞に出てくる表記で書く(build.py が行に結びつける)
# --- 表現 ---------------------------------------------------
E|였던가요|〜だったのでしょうか|丁寧な自問。혼자만의 오해였던가요
E|만들었소|〜したのだ(古風な文末)|〜소/〜오 は詩・歌の文語調。바보로 만들었소
E|떠나가던 날|去っていった日|〜던 = 過去の回想を表す連体形
E|잊지 못하는|忘れられない|〜지 못하다 = 〜できない
E|미웠죠|憎かったでしょう・嫌だった|밉다 + 〜었죠(過去+同意を求める文末)
E|깨달아요|気づきます・悟ります|깨닫다(ㄷ変則)
E|나였음을|私だったことを|〜였음 = 名詞化(〜だったこと) + 을
E|그대 위해|あなたのために|〜(을) 위해
E|주고 싶어|あげたい・捧げたい|〜고 싶다 = 〜したい
E|이대로|このまま|
E|헤어지지 않으리|別れはしない|〜지 않으리 = 〜しないだろう(文語の誓い)
E|오직|ただ・ひたすら|오직 그대만을
E|사랑하기 때문에|愛しているから|〜기 때문에 = 〜だから(理由)。曲名
E|나이기에|私だから|〜(이)기에 = 〜なので(文語)
E|작아져 가는|小さくなっていく|作아지다 + 〜아/어 가다(進行・変化)
E|뜻이라 해도|意味だとしても|〜(이)라 해도 = 〜だとしても
E|따르리오|従いましょう|〜리오 = 〜しよう(古風)
E|하지만|でも・しかし|
E|이제|今は・もう|
E|다시|また・再び|
E|수많은|数多くの|
E|그대만의|あなただけの|〜만의 = 〜だけの
# --- 単語 ---------------------------------------------------
V|처음|初めて・最初|
V|눈빛|まなざし・目の光|
V|혼자|ひとり|
V|오해|誤解|
V|해맑은|澄んで明るい|해맑다
V|미소|微笑み|
V|바보|馬鹿|
V|곁|そば|
V|가슴|胸|
V|품었던|抱いていた|품다 = 抱く・秘める
V|분홍빛|桃色|
V|추억|思い出|
V|푸르게|青く|푸르다
V|바래졌소|色あせた|바래다
V|어제|昨日|
V|떠난|去った|떠나다
V|돌아온|戻ってきた|돌아오다
V|영원히|永遠に|
V|헤어지지|別れる(헤어지다)|헤어지지 않으리
V|커다란|大きな|커다랗다
V|향해|向かって|향하다
V|조용히|静かに|
V|지난|過ぎた|지나다
V|모든 것|すべて|
V|우리|私たち|
