# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
# Planetshakers 「Beautiful Saviour」의 공인 일본어 번역(Live Church Worship).
1|예수 놀라우신 주|Jesus すばらしい しゅ|素晴らしい=훌륭하다·놀랍다. 主=주님
2|영광의 왕 구주|えいこうの おう すくいぬし|救い主=구세주. 여기서는 ぬし 로 읽는다
3|어린 양 거룩하신 분|こひつじ きよい かた|聖い=거룩하다(きよい). 方=분(높임)
4|축복의 구주|しゅくふくの すくいぬし|祝福=축복
5|하늘은 노래하고 외치네|てんは うたい さけぶ|歌い=연용형으로 잇는다. 叫ぶ=외치다
6|모든 것이 엎드려 경배하네|すべては ひれふし あがめる|ひれ伏す=엎드리다. 崇める=경배하다
7|놀라우신 아름다우신|すばらしい うつくしい|美しい=아름답다. 형용사 둘을 나란히
8|모든 이름보다 뛰어나|すべての なに まさって|勝る=낫다·뛰어나다. 〜に勝る=〜보다 낫다
9|높이 들리셔|たかく あげられ|上げる의 수동. 연용형
10|그 이름은 모든 것보다 뛰어나 예수|その なは すべてに まさる Jesus|8번의 勝って 가 종지형 勝る 로 온다
11|예수 놀라우신 주|Jesus すばらしい しゅ|1번과 같은 줄
12|영광의 왕 구주|えいこうの おう すくいぬし|2번과 같은 줄
13|하늘은 노래하고 외치네|てんは うたい さけぶ|5번과 같은 줄
14|모든 것이 엎드려 경배하네|すべては ひれふし あがめる|6번과 같은 줄
15|놀라우신 아름다우신|すばらしい うつくしい|7번과 같은 줄
16|모든 이름보다 뛰어나|すべての なに まさって|8번과 같은 줄
17|높이 들리셔|たかく あげられ|9번과 같은 줄
18|그 이름은 모든 것보다 뛰어나 예수|その なは すべてに まさる Jesus|10번과 같은 줄
19|놀라우신 아름다우신|すばらしい うつくしい|7번과 같은 줄
20|모든 이름보다 뛰어나|すべての なに まさって|8번과 같은 줄
21|높이 들리셔|たかく あげられ|9번과 같은 줄
22|그 이름은 모든 것보다 뛰어나 예수|その なは すべてに まさる Jesus|10번과 같은 줄
23|영원히 노래해|えいえんに うたう|永遠に=영원히. 브릿지
24|예수 당신을 사랑합니다|Jesus あなたを あいします|愛する의 정중형
25|영원히 노래해|えいえんに うたう|23번과 같은 줄
26|예수 당신을 사랑합니다|Jesus あなたを あいします|24번과 같은 줄
27|영원히 노래해|えいえんに うたう|23번과 같은 줄
28|예수 당신을 사랑합니다|Jesus あなたを あいします|24번과 같은 줄
29|영원히 노래해|えいえんに うたう|23번과 같은 줄
30|예수 당신을 사랑합니다|Jesus あなたを あいします|24번과 같은 줄
31|놀라우신 아름다우신|すばらしい うつくしい|7번과 같은 줄
32|모든 이름보다 뛰어나|すべての なに まさって|8번과 같은 줄
33|높이 들리셔|たかく あげられ|9번과 같은 줄
34|그 이름은 모든 것보다 뛰어나 예수|その なは すべてに まさる Jesus|10번과 같은 줄. 이 말로 곡이 끝난다
