# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|素晴らしい主|すばらしい しゅ|놀라우신 주|素晴らしい=훌륭하다·놀랍다
E|救い主|すくいぬし|구주|救い+主. 여기서는 ぬし
E|聖い方|きよい かた|거룩하신 분|聖い=きよい. 方=분(높임)
E|歌い叫ぶ|うたい さけぶ|노래하고 외치네|연용형으로 두 동사를 잇는다
E|ひれ伏しあがめる|ひれふし あがめる|엎드려 경배하네|崇める=경배하다
E|名に勝って|なに まさって|이름보다 뛰어나|〜に勝る=〜보다 낫다
E|高く 上げられ|たかく あげられ|높이 들리셔|上げる의 수동
E|すべてに勝る|すべてに まさる|모든 것보다 뛰어나|勝る의 종지형
E|永遠に歌う|えいえんに うたう|영원히 노래해|永遠に=영원히
E|あなたを愛します|あなたを あいします|당신을 사랑합니다|愛する의 정중형
# --- 단어 ---------------------------------------------------
V|栄光|えいこう|영광|
V|王|おう|왕|
V|小羊|こひつじ|어린 양|子羊 로도 적는다
V|祝福|しゅくふく|축복|
V|天|てん|하늘|
V|美しい|うつくしい|아름답다|
V|名|な|이름|
