# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
# 원곡 Goodness of God (Bethel Music) 의 일본어판. 한국어 찬양 「선하신 하나님」의 가사는 주석에 적었다.
1|사랑합니다|あいする|2번으로 이어진다. 원곡 「I love You, Lord」. 한국어로는 「나는 주를 사랑해」
2|주님의 손 안에서|しゅの みての なかで|御手=손(높임의 御). 〜の中で=〜안에서
3|언제나 평안을 얻네|いつでも やすらぎを える|安らぎ=평안·안식. 得る=얻다
4|잠 깰 때부터 잠들 때까지|めざめの ときから ねむる まで|目覚め=잠에서 깸. 〜から〜まで=〜부터 〜까지
5|선하신 주를 찬양하네|すばらしい しゅを さんびする|素晴らしい=훌륭하다·놀랍다. 賛美する=찬양하다. 한국어로는 「주의 선하심을 노래해」
6|당신은 선하신 분|あなたは よい かた|良い=좋다·선하다. 方=분(사람의 높임)
7|언제나 신실하신 주|いつも せいじつな しゅ|誠実=신실·성실. 〜な=형용동사의 연체형
8|목숨이 있는 한|いのち ある かぎり|〜限り=〜하는 한. 한국어로는 「내 평생에」
9|선하신 주를 찬양하네|すばらしい しゅを さんびする|5번과 같은 줄
10|사랑합니다|あいする|1번과 같은 줄
11|주는 불에서도 건지시고|しゅは ひからも たすけ|火=불. 〜からも=〜에서도. 助ける=구하다·건지다
12|곁에 계시네 절망의 때도|そばに いる ぜつぼうの ときも|そば=곁. 絶望=절망
13|내 아버지 되신 하나님 벗 되신 주|わが ちちなる かみ ともなる しゅ|わが=나의(문어). 〜なる=〜되신(문어). 두 번 겹친다
14|선하신 주와 함께 걷습니다|すばらしい しゅと あゆみます|歩む=걷다·동행하다. 5번의 賛美する 자리에 들어온다
15|당신은 선하신 분|あなたは よい かた|6번과 같은 줄
16|언제나 신실하신 주|いつも せいじつな しゅ|7번과 같은 줄
17|목숨이 있는 한|いのち ある かぎり|8번과 같은 줄
18|선하신 주를 찬양하네|すばらしい しゅを さんびする|5번과 같은 줄
19|넘치는 은혜가 나를 따르네|あふれる めぐみ わたしを おう|溢れる=넘치다. 恵み=은혜. 追う=쫓다·따르다. 한국어로는 「주의 선하심 나를 쫓네」
20|이제 모두 드립니다 이 생명을|いま すべて ささげます この いのちを|捧げる=바치다·드리다
21|넘치는 은혜가 나를 따르네|あふれる めぐみ わたしを おう|19번과 같은 줄
22|넘치는 은혜가 나를 따르네|あふれる めぐみ わたしを おう|19번과 같은 줄
23|이제 모두 드립니다 이 생명을|いま すべて ささげます この いのちを|20번과 같은 줄
24|넘치는 은혜가 나를 따르네|あふれる めぐみ わたしを おう|19번과 같은 줄
25|당신은 선하신 분|あなたは よい かた|6번과 같은 줄
26|언제나 신실하신 주|いつも せいじつな しゅ|7번과 같은 줄
27|목숨이 있는 한|いのち ある かぎり|8번과 같은 줄
28|선하신 주를 찬양하네|すばらしい しゅを さんびする|5번과 같은 줄
29|당신은 선하신 분|あなたは よい かた|6번과 같은 줄
30|언제나 신실하신 주|いつも せいじつな しゅ|7번과 같은 줄
31|목숨이 있는 한|いのち ある かぎり|8번과 같은 줄
32|선하신 주를 찬양하네|すばらしい しゅを さんびする|5번과 같은 줄. 이 말로 곡이 끝난다
