# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|御手の中で|みての なかで|손 안에서|御手=손(높임의 御)
E|安らぎを得る|やすらぎを える|평안을 얻네|得る를 える로 읽는다
E|目覚めの時から|めざめの ときから|잠 깰 때부터|目覚め=잠에서 깸. 〜から=〜부터
E|眠るまで|ねむる まで|잠들 때까지|〜まで=〜까지. 앞 줄과 짝
E|賛美する|さんびする|찬양하네|賛美=찬양. 명사+する
E|良い方|よい かた|선하신 분|方=분(사람의 높임). かた 로 읽는다
E|命ある限り|いのち ある かぎり|목숨이 있는 한|〜限り=〜하는 한
E|火からも助け|ひからも たすけ|불에서도 건지시고|〜からも=〜에서도
E|そばにいる|そばに いる|곁에 계시네|そば=곁
E|父なる神|ちちなる かみ|아버지 되신 하나님|〜なる=〜되신(문어)
E|主と歩みます|しゅと あゆみます|주와 함께 걷습니다|歩む=걷다·동행하다
E|私を追う|わたしを おう|나를 따르네|追う=쫓다·따르다
E|すべて捧げます|すべて ささげます|모두 드립니다|捧げる=바치다
# --- 단어 ---------------------------------------------------
V|素晴らしい|すばらしい|훌륭하다·놀랍다|
V|誠実|せいじつ|신실|
V|絶望|ぜつぼう|절망|
V|溢れる|あふれる|넘치다|
V|恵み|めぐみ|은혜|
V|命|いのち|생명|
V|友|とも|벗|
