# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
愛する|愛する|あいする|사랑하다|애
主|主|しゅ|주님|주
御|御|み|(높임의 접두어)|어
手|手|て|손|수
中|中|なか|안·중|중
安らぎ|安らぎ|やすらぎ|평안·안식|안
得る|得る|える|얻다|득
目覚め|目覚め|めざめ|잠에서 깸|목각
時|時|とき|때·시|시
眠る|眠る|ねむる|잠들다|면
素晴らしい|素晴らしい|すばらしい|훌륭하다|소청
賛美|賛美|さんび|찬양|찬미
良い|良い|よい|좋다·선하다|량
方|方|かた|쪽·편|방
誠実|誠実|せいじつ|신실·성실|성실
命|命|いのち|목숨·생명|명
限り|限り|かぎり|한(限)|한
火|火|ひ|불|화
助け|助ける|たすける|돕다·구하다|조
絶望|絶望|ぜつぼう|절망|절망
我が|我が|わが|나의|아
父|父|ちち|아버지|부
神|神|かみ|하나님·신|신
友|友|とも|벗·친구|우
歩み|歩む|あゆむ|걷다·동행하다|보
溢れる|溢れる|あふれる|넘치다|일
恵み|恵み|めぐみ|은혜|혜
私|私|わたし|나·저|사
追う|追う|おう|쫓다·따르다|추
今|今|いま|지금|금
捧げ|捧げる|ささげる|바치다·드리다|봉
