# 学習タブ。形式:  種類|韓国語|日本語|メモ    E=表現・文型  V=単語
#   表題語は歌詞に出てくる形で書く(活用形のまま)。build.py が出現行を自動で探してクリップを繋ぐ。
# --- 表現 ---------------------------------------------------
E|이른 아침|早朝|이르다(早い)の連体形 이른 + 아침(朝)
E|너무 뜨겁고|とても熱くて|뜨겁다=熱い。-고 で「〜て」と次に続ける
E|짜증만 타올라|イライラだけが募る|짜증(苛立ち)+만(だけ)。타오르다=燃え上がる
E|목이 타지|喉が渇くよね|목이 타다=喉が渇く(直訳「喉が燃える」)。-지 は同意を求める語尾
E|그땐 불러봐|その時は呼んでみて|그땐=그때는。부르다+아 보다=呼んでみる(命令)
E|너만 있다면|君さえいれば|-만=〜さえ・だけ。있다면=いるなら(仮定の -다면)
E|언제든|いつでも|언제든지 の縮約。어디든(どこでも)と対
E|단숨에|一息に|단숨(一息)+에
E|이대로|このまま|이(この)+대로(〜のまま)
E|지금부터|今から|-부터=〜から(起点)
E|한 번에|一度に|한 번(一回)+에
E|다가오면|近づいてきたら|다가오다=近づく。-면=〜たら/れば
E|말하지 않아도|言わなくても|-지 않다(〜しない)+아/어도(〜ても)
E|알 수 있어|分かるよ|-ㄹ 수 있다=〜できる
E|길었던|長かった|길다(長い)+었던(回想の連体形)
# --- 単語 ---------------------------------------------------
V|짜증|イライラ・苛立ち|짜증 나다=腹が立つ
V|적셔도|潤しても|적시다(濡らす・潤す)+아/어도
V|끈적인|べたつく|끈적이다=べたべたする(連体形)
V|지친|疲れた|지치다(疲れる)の過去連体形
V|도시|都市|漢字語
V|깨워낼|目覚めさせる|깨우다(起こす)+내다(〜し切る)+ㄹ(未来連体形)
V|맘속|心の中|맘=마음(心)+속(中)
V|세게|強く|세다(強い)の副詞形
V|달라진|変わった|달라지다(変わる)の連体形
V|온도|温度|漢字語
V|차오른|こみ上げる|차오르다=満ちてくる・こみ上げる
V|설렘|ときめき|설레다(ときめく)の名詞形
V|뛰어들어|飛び込め|뛰어들다(飛び込む)の命令・連用形
V|열기|熱気|漢字語
V|손짓|手ぶり・手の合図|손(手)+짓(仕草)
V|숨죽여|息を潜めて|숨죽이다=息を殺す
V|여름|夏|季節: 봄·여름·가을·겨울
V|구할|救う|구하다(救う・求める)+ㄹ 連体形
V|방법|方法|漢字語
