# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|영혼의 강함|たましいの つよさ|魂=영혼. 형용사+さ=명사(강함)
2|마음의 평안|こころの へいあん|平安=평안
3|모든 것은 주 안에|すべては しゅの なか|主=주님. 〜の中=〜안
4|찬양합니다|たたえます|讃える=찬양하다. 〜ます=정중형
5|주 앞에 엎드려|みもとに ひれふし|御許(みもと)=곁·앞(높임). ひれ伏す=엎드리다. 연용형으로 잇는다
6|임재 안으로|りんざいの なかへ|臨在=임재. 〜へ=〜으로
7|당신을 놓지 않아|あなたを はなさない|離す=놓다
8|나의 빛|わたしの ひかり|
9|당신을 따릅니다|あなたに したがいます|従う=따르다. 조사가 に 인 점에 주의
10|모든 것은 주의 손 안에|すべては みての なかに|御手=손(높임의 御)
11|마음도 생각도|こころも おもいも|〜も〜も=〜도 〜도
12|모두를 드려|すべてを ささげ|捧げる=바치다. 연용형
13|소망은 당신께 있어|きぼうは あなたに ある|希望=소망
14|힘도 주어져|ちからも あたえられる|与える의 수동형
15|나는 주의 그릇|わたしは しゅの うつわ|器=그릇. 이 곡의 제목
16|주의 영광을 위해|しゅの えいこうの ため|〜のため=〜을 위해
17|주 앞에 엎드려|みもとに ひれふし|5번과 같은 줄
18|임재 안으로|りんざいの なかへ|6번과 같은 줄
19|당신을 놓지 않아|あなたを はなさない|7번과 같은 줄
20|나의 빛|わたしの ひかり|8번과 같은 줄
21|당신을 따릅니다|あなたに したがいます|9번과 같은 줄
22|모든 것은 주의 손 안에|すべては みての なかに|10번과 같은 줄
23|마음도 생각도|こころも おもいも|11번과 같은 줄
24|모두를 드려|すべてを ささげ|12번과 같은 줄
25|소망은 당신께 있어|きぼうは あなたに ある|13번과 같은 줄
26|힘도 주어져|ちからも あたえられる|14번과 같은 줄
27|나는 주의 그릇|わたしは しゅの うつわ|15번과 같은 줄
28|주의 영광을 위해|しゅの えいこうの ため|16번과 같은 줄
29|주의 영광을 위해|しゅの えいこうの ため|후렴 끝말을 한 번 더
30|당신을 따릅니다|あなたに したがいます|9번과 같은 줄
31|모든 것은 주의 손 안에|すべては みての なかに|10번과 같은 줄
32|마음도 생각도|こころも おもいも|11번과 같은 줄
33|모두를 드려|すべてを ささげ|12번과 같은 줄
34|소망은 당신께 있어|きぼうは あなたに ある|13번과 같은 줄
35|힘도 주어져|ちからも あたえられる|14번과 같은 줄
36|나는 주의 그릇|わたしは しゅの うつわ|15번과 같은 줄
37|주의 영광을 위해|しゅの えいこうの ため|16번과 같은 줄
38|주의 영광을 위해|しゅの えいこうの ため|이 말로 곡이 끝난다
