# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|たましいの強さ|たましいの つよさ|영혼의 강함|형용사+さ=명사로 만든다
E|主の中|しゅの なか|주 안에|〜の中=〜안에
E|たたえます|たたえます|찬양합니다|讃える+ます
E|みもとにひれ伏し|みもとに ひれふし|주 앞에 엎드려|御許=곁·앞(높임). ひれ伏す=엎드리다
E|臨在の中へ|りんざいの なかへ|임재 안으로|〜へ=〜으로(방향)
E|離さない|はなさない|놓지 않아|離す의 부정
E|あなたに従います|あなたに したがいます|당신을 따릅니다|従う는 조사 に를 받는다
E|御手の中に|みての なかに|손 안에|御手=손(높임의 御)
E|心も思いも|こころも おもいも|마음도 생각도|〜も〜も=〜도 〜도
E|すべてをささげ|すべてを ささげ|모두를 드려|捧げる의 연용형
E|あなたにある|あなたに ある|당신께 있어|소유·존재의 ある
E|与えられる|あたえられる|주어져|与える의 수동
E|主の器|しゅの うつわ|주의 그릇|器=그릇. 제목
E|栄光のため|えいこうの ため|영광을 위해|〜のため=〜을 위해
# --- 단어 ---------------------------------------------------
V|平安|へいあん|평안|
V|臨在|りんざい|임재|
V|光|ひかり|빛|
V|希望|きぼう|소망|
V|力|ちから|힘|
V|栄光|えいこう|영광|
