# 学習タブ。形式:  種類|韓国語|日本語|メモ    E=表現・文型  V=単語
#   表題語は歌詞に出てくる形で書く(活用形のまま)。build.py が出現行を自動で探してクリップを繋ぐ。
# --- 表現 ---------------------------------------------------
E|찌는 더위|うだるような暑さ|찌다(蒸す)の連体形。夏の定番表現
E|처진 눈꼬리|垂れた目尻|처지다=垂れる・下がる
E|잠에 들|眠りにつく|잠에 들다。-ㄹ 것 같다 と組んで「眠ってしまいそう」
E|것 같은|〜しそうな・〜のような|推量の -ㄹ/은 것 같다 の連体形
E|맘을 담은|想いを込めた|담다=込める。맘=마음
E|고장난 네 맘|壊れた君の心|고장나다=故障する・壊れる
E|하나 둘 셋|いち に さん|固有数詞の掛け声
E|맘대로 섞어|思いのままに混ぜて|맘대로=好きなように / 섞다=混ぜる
E|단숨에 들이켜|一気に飲み干して|단숨에=一気に / 들이켜다=飲み干す
E|커져가는|大きくなっていく|커지다 + -어 가다(進行)
E|밤이 없는 햇빛|夜のない陽射し|없는=ない(連体形)
E|비출 때|照らす時|비추다 + -ㄹ 때(〜する時)
E|부족해|足りない|부족하다 の해体
E|뛰게해|鼓動させる・走らせる|뛰다 + -게 하다(使役)
E|바라던|望んでいた|-던=過去回想の連体形
E|너만 비추는|君だけを照らす|-만=〜だけ
E|아무도 몰래|誰にも内緒で|몰래=こっそり
E|손을 잡|手を握る|손을 잡다。歌詞では 잡아(握って)
E|너라면|君なら|-(이)라면=〜なら
E|뭐든지|何でも|뭐=何 + -든지=〜でも
# --- 単語 ---------------------------------------------------
V|더위|暑さ|덥다(暑い)の名詞形
V|눈꼬리|目尻|눈=目 + 꼬리=しっぽ
V|한방울|一滴|한 방울。방울=しずく
V|튄|はねた|튀다=はねる・飛び散る
V|맘|心|마음の縮約。歌詞・会話で頻出
V|상큼한|爽やかな|상큼하다
V|색|色|색깔 とも
V|달콤한|甘い|달콤하다=(心地よく)甘い
V|햇빛|日差し|햇-(日の)+빛(光)
V|네|君の・君が|表記は 네、発音は 니(내=私の と区別するため)
V|하루|一日|
V|미지근한|ぬるい|미지근하다
V|바람|風|
V|게으른|怠けた・怠惰な|게으르다(르変則)
V|심장|心臓|
V|노랠|歌を|노래를 の縮約
V|새빨간|真っ赤な|새빨갛다(ㅎ変則)
V|한여름|真夏|한-=真っ盛りの
V|차오르는|満ちてくる|차오르다
V|싱그러운|瑞々しい|싱그럽다(ㅂ変則)
