# 한자 훈음 사전. 형식: 漢字|훈 음   (카드에 나오는 한자 전부. 빌드가 누락을 검사한다)
逸|편안할 일
雪|눈 설
人|사람 인
私|사사 사
臣|신하 신
世|인간 세
界|지경 계
大|큰 대
今|이제 금
何|어찌 하
降|내릴 강
気|기운 기
先|먼저 선
分|나눌 분
手|손 수
日|날 일
聞|들을 문
語|말씀 어
恋|그리워할 련
音|소리 음
外|바깥 외
話|말씀 화
動|움직일 동
一|한 일
憧|동경할 동
行|다닐 행
待|기다릴 대
絡|이을 락
後|뒤 후
変|변할 변
国|나라 국
来|올 래
読|읽을 독
近|가까울 근
本|근본 본
生|날 생
見|볼 견
会|모일 회
店|가게 점
張|베풀 장
連|잇닿을 련
時|때 시
知|알 지
感|느낄 감
送|보낼 송
伝|전할 전
曇|흐릴 담
天|하늘 천
空|빌 공
色|빛 색
橋|다리 교
元|으뜸 원
開|열 개
友|벗 우
達|통달할 달
毎|매양 매
場|마당 장
所|바 소
上|윗 상
助|도울 조
口|입 구
物|물건 물
初|처음 초
俺|나 엄
次|버금 차
面|낯 면
電|번개 전
車|수레 차
丈|어른 장
夫|지아비 부
長|길 장
度|법도 도
頑|완고할 완
任|맡길 임
最|가장 최
間|사이 간
服|옷 복
前|앞 전
飲|마실 음
結|맺을 결
普|넓을 보
通|통할 통
願|원할 원
指|손가락 지
右|오른쪽 우
側|곁 측
入|들 입
学|배울 학
進|나아갈 진
同|한가지 동
盛|성할 성
珍|보배 진
対|대할 대
戸|지게 호
惑|미혹할 혹
振|떨칠 진
自|스스로 자
中|가운데 중
起|일어날 기
付|줄 부
迷|미혹할 미
浮|뜰 부
段|층계 단
内|안 내
容|얼굴 용
濃|짙을 농
荷|멜 하
顔|낯 안
早|이를 조
緊|긴할 긴
回|돌아올 회
緒|실마리 서
痛|아플 통
年|해 년
互|서로 호
暗|어두울 암
着|붙을 착
展|펼 전
言|말씀 언
目|눈 목
雰|안개 분
囲|에워쌀 위
違|어긋날 위
京|서울 경
弥|두루 미
酒|술 주
構|얽을 구
強|강할 강
引|끌 인
意|뜻 의
味|맛 미
解|풀 해
釈|풀 석
書|글 서
席|자리 석
挨|밀칠 애
拶|닥칠 찰
当|마땅 당
慣|익숙할 관
改|고칠 개
文|글월 문
字|글자 자
重|무거울 중
英|꽃부리 영
局|판 국
確|굳을 확
認|알 인
取|가질 취
隣|이웃 린
歩|걸음 보
危|위태할 위
握|쥘 악
覚|깨달을 각
熱|더울 열
腕|팔 완
積|쌓을 적
始|비로소 시
思|생각 사
浸|잠길 침
食|밥 식
広|넓을 광
脈|줄기 맥
現|나타날 현
情|뜻 정
方|모 방
桜|앵두 앵
志|뜻 지
誰|누구 수
探|찾을 탐
疲|피곤할 피
君|임금 군
午|낮 오
授|줄 수
業|업 업
