# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 seg.py 의 분할 결과에 대응
1|사랑은 이 눈처럼 소리도 없이 내려오는 걸까|こいは この ゆき みたいに おとも なく ふって くるのかな|〜みたいに=〜처럼, 〜のかな=〜인 걸까(혼잣말)
2|흐린 하늘에서, 세상의 색을 바꾸면서|どんてんの そらから せかいの いろを かえながら|曇天=흐린 하늘, 〜ながら=〜하면서
3|그렇지, 알아 알아|そうだよね わかる わかる|맞장구 표현
4|잠시 후 하시모토, 하시모토입니다|まもなく はしもと はしもとです|전철 안내방송 정형구. まもなく=곧
5|오른쪽 문이 열립니다|みぎがわの ドアが あきます|開く(あく)=열리다(자동사)
6|예쁜 원피스를 세일로 손에 넣다니|かわいい ワンピースが セールで てに はいる なんて|手に入る=손에 들어오다, 〜なんて=〜하다니
7|아, 린이 인스타 올렸네|あっ りんちゃん インスタ アップ してる|アップする=업로드하다
8|예쁜 것들과 친구, 대학, SNS|かわいい ものと ともだち だいがく エスエヌエス|
9|어떻게든 지금은 하루하루가 잘 굴러가고 있어|なんとか いまは まいにちが うまく すすんで いってる|なんとか=그럭저럭·어떻게든
10|외국인!? 어, 왜…|がいこくじん！？ えっ なぜ…|
11|응? 아, 장소를 묻고 있는 건가?|うん？ あっ ばしょ きかれてる？|聞かれる=질문받다(수동)
12|Oh, yeah. 어? 아?|オー イェー|
13|도움이 필요하세요?|ドゥー ユー ニード ヘルプ|
14|어? 아…||
15|다행이다, 말할 수 있는 사람이 와 줬어|よかった はなせる ひと きて くれた|〜てくれた=(나를 위해) 〜해 줬다
16|그런데 이 사람, 어디선가…|でも この ひと どこかで…|
17|맞다, 린이랑 같은 동아리 사람|そうだ りんちゃんと おなじ サークルの ひと|サークル=대학 동아리
18|엄청 신났네. 장소는 알았나?|すごい もりあがってる ばしょ わかった？|盛り上がる=분위기가 달아오르다
19|바이바이!|バイバイ|
20|도움을 받아 버렸네|たすけて もらっちゃったな|〜てもらう=〜해 받다, 〜ちゃった=〜해 버렸다
21|아, 수화가 아니라…|あっ しゅわ じゃなくて…|手話=수화, 〜じゃなくて=〜가 아니라
22|죄, 송, 합…|す み ま せ…|입 모양으로 すみません 을 말하는 장면
23|아|あっ|
24|입 모양, 읽을 수 있어? 못 읽어?|くちの うごき よめる？ よめない？|逸臣 특유의 「〜？ 〜ない？」 양자택일 질문
25|가까워!|ちかい！|
26|그런 거구나. 아까 그 사람, 일본어 유창해|そういう ことか さっきの ひと にほんご ペラペラ|ペラペラ=(외국어가) 유창한
27|그랬구나|そうだったんだ|
28|신기한 생물 보듯이 쳐다봐|めずらしい いきもの みたいに みてくる|〜てくる=(나를 향해) 〜해 오다
29|이런 사람 처음 만났어|はじめて こういう ひとに あった|
30|봐, 역시|ほら やっぱり|
31|흐음…|ふーん…|
32|나 다음에서 내려|おれ つぎで おりる|降りる=내리다
33|그쪽은 내려? 안 내려?|そっちは おりる？ おりない？|
34|아까보다 입 모양을 읽기 쉽게 움직여 주고 있어|さっきより くちの うごき よみやすく うごかして くれてる|〜やすく=〜하기 쉽게
35|응…|ん…|
36|그럼 간다|じゃあな|남성적인 작별 인사(반말)
37|또, 봐…|ま た…|입 모양으로 また 를 말함
