# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음
#   어간 = 카드 본문에 실제로 나오는 문자열. 긴 어간부터 맞추므로 「盛り上がっ」이 「上がり」보다 먼저 잡힌다.
#   같은 한자가 읽기에 따라 다른 말이면 오쿠리가나까지 어간에 넣는다 (生き物 / 生まれ, 降っ / 降り, 変え / 変).
曇天|曇天|どんてん|흐린 하늘|담천
世界|世界|せかい|세계|세계
外国人|外国人|がいこくじん|외국인|외국인
外気|外気|がいき|바깥 공기|외기
日本語|日本語|にほんご|일본어|일본어
英語|英語|えいご|영어|영어
ドイツ語|ドイツ語|ドイツご|독일어|어
何語|何語|なにご|무슨 언어|하어
初対面|初対面|しょたいめん|첫 대면|초대면
連絡先|連絡先|れんらくさき|연락처|연락선
指先|指先|ゆびさき|손끝|지선
雰囲気|雰囲気|ふんいき|분위기|분위기
大丈夫|大丈夫|だいじょうぶ|괜찮음|대장부
大ざっ|大ざっぱ|おおざっぱ|투박한·대략적인|대
大きな|大きな|おおきな|큰|대
大学|大学|だいがく|대학|대학
一段と|一段と|いちだんと|한층 더|일단
一緒|一緒|いっしょ|함께|일서
一面|一面|いちめん|일면·의외의 면|일면
一度|一度|いちど|한 번|일도
盛り上がっ|盛り上がる|もりあがる|(분위기가) 달아오르다|성상
上がり|上がり|あがり|(알바·일) 끝|상
気付い|気付く|きづく|깨닫다|기부
気|気|き|마음·기분 (気がする·気をつける)|기
生き物|生き物|いきもの|생물|생물
生まれ|生まれる|うまれる|태어나다|생
降っ|降る|ふる|(눈·비가) 내리다|강
降り|降りる|おりる|(탈것에서) 내리다|강
変え|変える|かえる|바꾸다|변
変|変|へん|이상함|변
今度|今度|こんど|이번|금도
今日|今日|きょう|오늘|금일
今|今|いま|지금|금
本当|本当|ほんとう|정말|본당
店長|店長|てんちょう|점장|점장
店|店|みせ|가게|점
電車|電車|でんしゃ|전철|전차
振動|振動|しんどう|진동|진동
自分|自分|じぶん|자기·자신|자분
内容|内容|ないよう|내용|내용
荷物|荷物|にもつ|짐|하물
緊張|緊張|きんちょう|긴장|긴장
毎回|毎回|まいかい|매번|매회
毎日|毎日|まいにち|매일|매일
頑張|頑張る|がんばる|힘내다·노력하다|완장
年生|年生|ねんせい|학년|년생
最後|最後|さいご|마지막|최후
最大|最大|さいだい|최대|최대
時間|時間|じかん|시간|시간
友達|友達|ともだち|친구|우달
結構|結構|けっこう|꽤|결구
結局|結局|けっきょく|결국|결국
強引|強引|ごういん|억지스러움·저돌적|강인
意味|意味|いみ|의미|의미
解釈|解釈|かいしゃく|해석|해석
挨拶|挨拶|あいさつ|인사|애찰
普通|普通|ふつう|보통|보통
文字|文字|もじ|글자|문자
確認|確認|かくにん|확인|확인
感覚|感覚|かんかく|감각|감각
感情|感情|かんじょう|감정|감정
感じ|感じ|かんじ|느낌|감
浸食|浸食|しんしょく|침식|침식
脈絡|脈絡|みゃくらく|맥락|맥락
午後|午後|ごご|오후|오후
授業|授業|じゅぎょう|수업|수업
展開|展開|てんかい|전개|전개
右側|右側|みぎがわ|오른쪽|우측
手話|手話|しゅわ|수화|수화
場所|場所|ばしょ|장소|장소
逸臣|逸臣|いつおみ|이츠오미 (인명)|일신
逸|逸|いつ|이츠 (逸臣의 애칭)|일
京弥|京弥|きょうや|쿄야 (인명)|경미
桜志|桜志|おうし|오시 (인명)|앵지
橋元|橋元|はしもと|하시모토 (역 이름)|교원
雪|雪|ゆき|눈 (주인공 이름이기도)|설
人|人|ひと|사람|인
私|私|わたし|나|사
俺|俺|おれ|나 (남성)|엄
何|何|なに・なん|무엇·왜 (何で)|하
先|先|さき|곳·끝 (バイト先)|선
分か|分かる|わかる|알다·이해하다|분
手|手|て|손|수
聞|聞く|きく|듣다·묻다|문
恋|恋|こい|사랑·연애|연
音|音|おと|소리|음
話|話す|はなす|말하다|화
動かし|動かす|うごかす|움직이다|동
動き|動き|うごき|움직임|동
憧れ|憧れ|あこがれ|동경|동
行|行く|いく|가다|행
待|待つ|まつ|기다리다|대
後ろ|後ろ|うしろ|뒤|후
来|来る|くる|오다|래
読|読む|よむ|읽다|독
近|近い|ちかい|가깝다|근
見|見る|みる|보다|견
会|会う|あう|만나다|회
時|時|とき|때|시
知|知る|しる|알다|지
送|送る|おくる|바래다주다·보내다|송
伝え|伝える|つたえる|전하다|전
伝わ|伝わる|つたわる|전해지다|전
空|空|そら|하늘|공
色|色|いろ|색|색
開き|開く|あく|열리다|개
助け|助ける|たすける|돕다|조
口|口|くち|입|구
物|物|もの|것·물건|물
初めて|初めて|はじめて|처음으로|초
次|次|つぎ|다음|차
任せ|任せる|まかせる|맡기다|임
服|服|ふく|옷|복
前|前|まえ|앞·전|전
飲|飲む|のむ|마시다|음
願い|お願い|おねがい|부탁|원
入る|入る|はいる|들어가다|입
進ん|進む|すすむ|나아가다|진
同じ|同じ|おなじ|같은|동
珍しい|珍しい|めずらしい|드물다·신기하다|진
戸惑|戸惑う|とまどう|당황하다|호혹
中|中|なか|안·속|중
起き|起きる|おきる|일어나다|기
迷う|迷う|まよう|망설이다|미
浮かれ|浮かれる|うかれる|들뜨다|부
濃かっ|濃い|こい|진하다·빡빡하다|농
顔|顔|かお|얼굴|안
早い|早い|はやい|빠르다|조
痛い|痛い|いたい|아프다|통
互い|互い|たがい|서로|호
暗い|暗い|くらい|어둡다|암
着い|着く|つく|도착하다|착
言っ|言う|いう|말하다|언
目|目|め|눈|목
酒|酒|さけ|술|주
書く|書く|かく|쓰다|서
席|席|せき|자리|석
慣れ|慣れる|なれる|익숙해지다|관
改めて|改めて|あらためて|새삼·다시 한번|개
重い|重い|おもい|무겁다|중
取|取る|とる|받다·취하다|취
隣|隣|となり|옆|린
歩い|歩く|あるく|걷다|보
危な|危ない|あぶない|위험하다|위
握られ|握る|にぎる|쥐다|악
熱い|熱い|あつい|뜨겁다|열
腕|腕|うで|팔|완
積もり|積もる|つもる|쌓이다|적
始め|始める|はじめる|시작하다|시
思っ|思う|おもう|생각하다|사
広い|広い|ひろい|넓다|광
現れ|現れる|あらわれる|나타나다|현
方|方|かた|방법 (〜方)|방
誰|誰|だれ|누구|수
探し|探す|さがす|찾다|탐
疲れ|疲れ|つかれ|피로 (お疲れ)|피
君|君|くん|〜군|군
違う|違う|ちがう|다르다|위
