# 한자 훈음 사전. 형식: 漢字|훈 음
々|같은 글자 반복
一|하나 일
並|나란히 병
乗|탈 승
人|사람 인
今|이제 금
付|붙을 부
何|어찌 하
冷|찰 랭
出|날 출
初|처음 초
匂|향기 내
変|변할 변
夕|저녁 석
外|바깥 외
夜|밤 야
失|잃을 실
寄|부칠 기
年|해 년
弱|약할 약
心|마음 심
思|생각할 사
悲|슬플 비
想|생각 상
愛|사랑 애
手|손 수
持|가질 지
描|그릴 묘
日|날 일
星|별 성
最|가장 최
染|물들 염
歩|걸음 보
気|기운 기
泣|울 읍
涙|눈물 루
添|더할 첨
照|비출 조
甘|달 감
白|흰 백
直|곧을 직
真|참 진
瞬|눈깜짝일 순
知|알 지
祈|빌 기
積|쌓을 적
笑|웃음 소
節|마디 절
素|본디 소
続|이을 속
緒|실마리 서
繋|맬 계
胸|가슴 흉
舞|춤출 무
華|빛날 화
落|떨어질 락
街|거리 가
誰|누구 수
起|일어날 기
近|가까울 근
道|길 도
間|사이 간
降|내릴 강
陰|그늘 음
雪|눈 설
顔|낯 안
風|바람 풍
冬|겨울 동
季|계절 계
揺|흔들 요
濡|젖을 유
眺|바라볼 조
窓|창 창
舗|펼 포
闇|어두울 암
花|꽃 화
切|끊을 절
止|그칠 지
