# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 lyrics.txt 의 줄 번호(빈 줄 제외)
1|길게 늘어진 그림자를 보도에 나란히 하고|のびた かげを ほどうに ならべ|のびた=늘어진(伸びる). 人陰는 가사에서 かげ로 읽음. 並べ=並べる의 연용형(〜하고)
2|땅거미 속을 너와 걷고 있어|ゆうやみの なかを キミと あるいてる|夕闇=해 진 뒤의 어둠. 〜てる=〜ている
3|손을 잡고 언제까지나 쭉|てを つないで いつまでも ずっと|手を繋ぐ=손을 잡다. いつまでも=언제까지나
4|곁에 있을 수 있다면, 울어 버릴 만큼|そばに いれたなら なけちゃうくらい|いれたなら=いられたなら(있을 수 있다면, 회화체). 泣けちゃう=泣けてしまう. 〜くらい=〜할 만큼
5|바람이 차가워지고|かぜが つめたく なって|형용사+くなる=〜해지다
6|겨울 냄새가 났어|ふゆの においが した|匂いがする=냄새가 나다
7|슬슬 이 거리에|そろそろ この まちに|そろそろ=슬슬. 街=거리·동네
8|너와 가까워질 수 있는 계절이 와|キミと ちかづける きせつが くる|近付ける=가까워질 수 있다(가능형). 季節=계절
9|올해 첫 눈의 꽃을|ことし さいしょの ゆきの はなを|今年=올해. 最初=첫·처음. 華=花(꽃)의 멋 부린 표기
10|둘이 바싹 붙어서|ふたり よりそって|2人=ふたり. 寄り添う=바싹 다가붙다
11|바라보고 있는 이 순간에|ながめて いる この ときに|瞬間을 가사에서는 とき로 읽음. 眺める=바라보다
12|행복이 넘쳐흘러|シアワセが あふれだす|シアワセ=幸せ(행복). あふれだす=넘쳐 나오기 시작하다
13|응석이나 나약함이 아니야|あまえとか よわさじゃない|甘え=응석. 弱さ=약함. 〜とか=〜라든가. 〜じゃない=〜가 아니다
14|그저, 너를 사랑해|ただ キミを あいしてる|ただ=그저. 愛してる=愛している
15|진심으로 그렇게 생각했어|こころから そう おもった|心から=진심으로
16|네가 있으면 어떤 일이라도|キミが いると どんな ことでも|〜と=〜하면(조건). どんな〜でも=어떤 〜라도
17|헤쳐 나갈 수 있을 것 같은 기분이 들어|のりきれる ような きもちに なってる|乗り切れる=乗り切る(극복하다)의 가능형. 〜ような気持ちになる=〜한 기분이 되다
18|이런 나날이 언제까지나 분명|こんな ひびが いつまでも きっと|日々=나날. きっと=분명
19|계속되기를 기도하고 있어|つづいてく ことを いのって いるよ|続いてく=続いていく. 〜ことを祈る=〜하기를 빌다
20|바람이 창문을 흔들었어|かぜが まどを ゆらした|揺らす=흔들다(타동사)
21|밤은 흔들어 깨워서|よるは ゆりおこして|揺り起こす=흔들어 깨우다
22|어떤 슬픈 일이라도|どんな かなしい ことも|悲しい=슬프다. 〜も=〜라도
23|내가 웃는 얼굴로 바꿔 줄게|ボクが えがおへと かえて あげる|笑顔=웃는 얼굴. 〜へと変える=〜로 바꾸다. 〜てあげる=(남에게) 〜해 주다
24|흩날려 떨어진 눈의 꽃이|まいおちて きた ゆきの はなが|舞い落ちる=흩날리며 떨어지다. 〜てきた=〜해 왔다
25|창밖에 계속|まどの そと ずっと|窓の外=창밖
26|그칠 줄 모르고|ふりやむ ことを しらずに|降り止む=(눈이) 그치다. 〜ことを知らずに=〜할 줄 모르고
27|우리의 거리를 물들여|ボクらの まちを そめる|染める=물들이다
28|누군가를 위해 무언가를|だれかの ために なにかを|〜のために=〜를 위해
29|하고 싶다고 생각할 수 있는 것이|したいと おもえるのが|〜たい=〜하고 싶다. 思える=생각할 수 있다·여겨지다
30|사랑이라는 것을 알았어|あいと いう ことを しった|〜ということ=〜라는 것
31|만약 너를 잃었다고 한다면|もし キミを うしなったと したなら|〜としたなら=〜라고 한다면(가정). 失う=잃다
32|별이 되어 너를 비출 거야|ほしに なって キミを てらすだろう|〜になる=〜가 되다. 照らす=비추다. 〜だろう=〜일 거야
33|웃는 얼굴도, 눈물에 젖어 있는 밤도|えがおも なみだに ぬれてる よるも|〜も〜も=〜도 〜도. 濡れる=젖다
34|언제나 언제든 곁에 있을게|いつも いつでも そばに いるよ|いつも=항상. いつでも=언제든
35|올해 첫 눈의 꽃을|ことし さいしょの ゆきの はなを|9번과 같음
36|둘이 바싹 붙어서|ふたり よりそって|
37|바라보고 있는 이 순간에|ながめて いる この ときに|
38|행복이 넘쳐흘러|シアワセが あふれだす|
39|응석이나 나약함이 아니야|あまえとか よわさじゃない|
40|그저, 너와 쭉|ただ キミと ずっと|
41|이대로 함께 있고 싶어|この まま いっしょに いたい|このまま=이대로. 一緒にいたい=함께 있고 싶다
42|솔직하게 그렇게 생각할 수 있어|すなおに そう おもえる|素直に=솔직하게·순순히
43|이 거리에 내려 쌓여 가는|この まちに ふりつもってく|降り積もる=내려 쌓이다. 〜てく=〜ていく
44|새하얀 눈의 꽃|まっしろな ゆきの はな|真っ白=새하얌
45|두 사람의 가슴에 살며시 추억을 그릴게|ふたりの むねに そっと おもいでを えがくよ|そっと=살며시. 想い出=思い出(추억). 描く=그리다
46|앞으로도 너와 쭉…|これからも キミと ずっと|これからも=앞으로도
