# 학습 탭 데이터.  형식:  종류|일본어|읽기|한국어 뜻|메모
#   E = 표현(문형·관용구)   V = 단어.  표제는 가사에 나오는 형태 그대로(빌드가 가사 속 위치를 찾는다)
# --- 표현 ---------------------------------------------------
E|手を繋いで|てを つないで|손을 잡고|手を繋ぐ=손을 잡다. 〜て=〜하고
E|いつまでもずっと|いつまでも ずっと|언제까지나 쭉|いつまでも=언제까지나. ずっと=쭉·계속
E|泣けちゃうくらい|なけちゃうくらい|울어 버릴 만큼|泣ける+ちゃう(てしまう). 〜くらい=〜할 정도로
E|冷たくなって|つめたく なって|차가워져서|형용사 어간+くなる=〜해지다
E|匂いがした|においが した|냄새가 났어|匂いがする=냄새가 나다. 味がする·音がする 도 같은 꼴
E|そろそろ|そろそろ|슬슬|時間이 다 되어 감을 나타냄
E|今年、最初の|ことし さいしょの|올해 첫|最初の〜=첫 〜
E|寄り添って|よりそって|바싹 붙어서|寄り添う=곁에 바싹 붙다
E|あふれだす|あふれだす|넘쳐 나오기 시작하다|동사 연용형+だす=〜하기 시작하다
E|甘えとか弱さじゃない|あまえとか よわさじゃない|응석이나 나약함이 아니야|〜とか=〜라든가. 〜じゃない=〜가 아니다
E|心からそう思った|こころから そう おもった|진심으로 그렇게 생각했어|心から=진심으로
E|どんなことでも|どんな ことでも|어떤 일이라도|의문사+でも=〜라도 전부
E|乗りきれるような|のりきれる ような|헤쳐 나갈 수 있을 것 같은|乗り切る(극복하다)의 가능형+ような
E|気持ちになってる|きもちに なってる|기분이 들어|〜気持ちになる=〜한 기분이 되다
E|祈っているよ|いのって いるよ|기도하고 있어|祈る=빌다
E|変えてあげる|かえて あげる|바꿔 줄게|〜てあげる=(내가 남에게) 〜해 주다
E|降りやむことを知らずに|ふりやむ ことを しらずに|그칠 줄 모르고|〜ことを知らずに=〜하는 것도 모르고
E|誰かのために|だれかの ために|누군가를 위해|〜のために=〜를 위해
E|したいと思える|したいと おもえる|하고 싶다고 생각할 수 있다|〜たいと思う=〜하고 싶다고 생각하다
E|愛ということを知った|あいと いう ことを しった|사랑이라는 것을 알았어|〜ということ=〜라는 것
E|失ったとしたなら|うしなったと したなら|잃었다고 한다면|〜としたなら=〜라고 가정하면
E|照らすだろう|てらすだろう|비출 거야|〜だろう=〜일 거야(추측·다짐)
E|いつもいつでも|いつも いつでも|언제나 언제든|
E|このまま一緒にいたい|この まま いっしょに いたい|이대로 함께 있고 싶어|〜たい=〜하고 싶다
E|降り積もってく|ふりつもってく|내려 쌓여 가|降り積もる+ていく(줄임 てく)
E|これからもキミとずっと|これからも キミと ずっと|앞으로도 너와 쭉|これから=앞으로. 말끝을 흐린 「…」로 여운을 남김
# --- 단어 ---------------------------------------------------
V|人陰|かげ|(사람) 그림자|보통 人影(ひとかげ). 가사에서는 かげ로 노래함
V|舗道|ほどう|포장도로·보도|
V|夕闇|ゆうやみ|땅거미·저녁 어둠|
V|冬|ふゆ|겨울|
V|街|まち|거리·동네|
V|季節|きせつ|계절|
V|雪|ゆき|눈|
V|華|はな|꽃|花와 같음. 화려함의 뉘앙스
V|瞬間|とき|순간|보통 しゅんかん. 가사에서는 とき
V|シアワセ|しあわせ|행복|幸せ의 가타카나 표기
V|愛してる|あいしてる|사랑해|愛している의 줄임
V|日々|ひび|나날|
V|窓|まど|창문|
V|夜|よる|밤|
V|悲しい|かなしい|슬프다|
V|笑顔|えがお|웃는 얼굴|
V|舞い落ちて|まいおちて|흩날려 떨어져|舞う(춤추다·흩날리다)+落ちる
V|染める|そめる|물들이다|
V|星|ほし|별|
V|涙|なみだ|눈물|
V|濡れてる|ぬれてる|젖어 있어|濡れる=젖다
V|素直に|すなおに|솔직하게|
V|真っ白な|まっしろな|새하얀|真っ+색=아주 〜한 색
V|胸|むね|가슴|
V|想い出|おもいで|추억|思い出와 같음. 想 은 감정을 강조
V|描くよ|えがくよ|그릴게|描く=그리다
