# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
人陰|人陰|かげ|사람 그림자(人影)|인음
舗道|舗道|ほどう|포장도로·보도|포도
並べ|並べる|ならべる|나란히 놓다|병
夕闇|夕闇|ゆうやみ|땅거미·저녁 어둠|석암
歩い|歩く|あるく|걷다|보
手|手|て|손|수
繋い|繋ぐ|つなぐ|잇다·(손을) 잡다|계
泣け|泣く|なく|울다|읍
風|風|かぜ|식·모양|풍
冷たく|冷たい|つめたい|차갑다|랭
冬|冬|ふゆ|겨울|동
匂い|匂い|におい|냄새|내
街|街|まち|거리|가
近付ける|近付ける|ちかづける|가까워질 수 있다·다가가게 하다|근부
季節|季節|きせつ|계절|계절
今年|今年|ことし|올해|금년
最初|最初|さいしょ|처음|최초
雪|雪|ゆき|눈|설
華|花|はな|꽃|화
人|人|ひと|사람|인
寄り添っ|寄り添う|よりそう|바싹 다가붙다|기첨
眺め|眺める|ながめる|바라보다|조
瞬間|瞬間|とき|순간(가사에서는 とき로 읽음)|순간
甘え|甘え|あまえ|응석·어리광|감
弱|弱い|よわい|약하다|약
愛し|愛する|あいする|사랑하다|애
心|心|こころ|마음|심
思っ,思える|思う|おもう|생각하다|사
乗りきれる|乗り切る|のりきる|헤쳐 나가다·극복하다|승절
気持ち|気持ち|きもち|기분·마음|기지
日々|日々|ひび|나날|일반복
続い|続く|つづく|계속되다|속
祈っ|祈る|いのる|빌다·기도하다|기
窓|窓|まど|창문|창
揺らし|揺らす|ゆらす|흔들다|요
夜|夜|よる|밤|야
揺り起こし|揺り起こす|ゆりおこす|흔들어 깨우다|요기
悲しい|悲しい|かなしい|슬프다|비
笑顔|笑顔|えがお|웃는 얼굴|소안
変え|変える|かえる|바꾸다|변
舞い落ち|舞い落ちる|まいおちる|흩날려 떨어지다|무락
外|外|そと|밖|외
降りやむ|降り止む|ふりやむ|(눈·비가) 그치다|강지
知ら,知っ|知る|しる|알다|지
染める|染める|そめる|물들이다|염
誰|誰|だれ|누구|수
何|何|なに|무엇|하
愛|愛|あい|사랑|애
失っ|失う|うしなう|잃다|실
星|星|ほし|별|성
照らす|照らす|てらす|비추다|조
涙|涙|なみだ|눈물|루
濡れ|濡れる|ぬれる|젖다|유
一緒|一緒|いっしょ|함께|일서
素直|素直|すなお|솔직함·순수함|소직
降り積もっ|降り積もる|ふりつもる|내려 쌓이다|강적
真っ白|真っ白|まっしろ|새하얌|진백
胸|胸|むね|가슴|흉
想い出|思い出|おもいで|추억|사출
描く|描く|えがく|그리다|묘
